Typhoon Code,Typhoon Name,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW, 
(2002,Nuri,0,0,0,2,15,9,2,3,0,0,0,0,0,0,0,0, 
(1914,Kajiki,0,3,0,7,22,2,0,0,0,0,0,0,0,0,0,0, 
(1912,Podul,0,0,0,8,20,2,1,0,0,0,0,0,0,0,0,0, 
(1911,Bailu,1,0,2,2,1,0,0,0,0,2,2,5,9,3,1,2, 
(1907,Wipha,0,0,1,3,21,5,4,0,0,0,0,0,0,0,0,0, 
(1904,Mun,1,0,0,5,22,4,1,1,0,0,0,0,0,0,0,0, 
(1826,Yutu,16,8,6,0,0,0,0,0,0,0,0,0,1,2,0,4, 
(1822,Mangkhut,0,3,3,5,10,4,1,1,0,0,0,0,0,0,0,0, 
(1823,Barijat,0,2,1,11,17,2,1,0,0,0,0,0,0,0,0,0, 
(1816,Bebinca,0,0,1,6,13,11,0,1,0,0,0,0,0,0,0,0, 
(1809_2,Son-Tinh_2,0,0,0,0,2,9,4,11,3,1,0,0,0,0,0,0, 
(1809_1,Son-Tinh_1,0,0,0,1,12,16,3,0,0,0,0,0,0,0,0,0, 
(1804,Ewiniar,0,0,0,3,11,8,6,5,1,0,0,0,0,0,0,0, 
(1720,Khanun,6,5,4,6,4,3,0,0,0,0,0,0,0,0,0,0, 
(1722W,TD1722W,0,0,1,5,18,5,4,0,0,0,0,0,0,0,0,0, 
(1716,Mawar,0,0,0,0,0,0,0,0,4,8,9,4,6,1,1,0, 
(1714,Pakhar,0,0,3,5,12,7,3,0,0,0,0,0,0,0,0,0, 
(1713,Hato,1,2,3,7,8,5,5,0,0,0,0,0,0,0,0,0, 
(1707,Roke,3,0,0,1,10,5,5,1,0,1,0,1,1,1,1,7, 
(1702,Merbok,4,2,1,0,1,0,0,0,0,0,2,1,7,6,4,3, 
(1622,Haima,0,0,0,0,0,0,0,0,0,2,3,3,10,8,3,3, 
(1621,Sarika,1,2,3,6,16,6,2,0,0,0,0,0,0,0,0,1, 
(1619,Aere,13,4,3,1,1,1,0,0,0,0,0,0,0,3,2,5, 
(1617,Megi,1,0,0,0,0,0,0,0,0,0,0,0,7,18,4,4, 
(1614,Meranti,5,1,0,1,0,0,0,0,0,0,0,1,2,10,5,8, 
(1608,Dianmu,0,0,1,3,13,3,8,3,1,0,0,0,0,0,0,0, 
(1604,Nida,0,0,0,0,0,0,0,2,4,9,2,2,3,6,3,2, 
(1602,Mirinae,1,0,1,2,15,8,6,4,1,0,0,0,0,0,0,0, 
(1601W,TD1601W,0,0,0,3,13,3,5,4,4,0,0,0,0,0,0,0, 
(1522,Mujigae,1,0,1,6,9,10,6,0,0,0,0,0,0,0,0,0, 
(1510,Linfa,0,0,1,3,8,1,0,0,0,0,0,1,3,6,5,5, 
(1508,Kujira,0,0,1,1,12,6,6,4,1,0,0,0,0,0,0,0, 
(1415,Kalmaegi,0,0,2,4,21,2,3,0,0,0,0,0,0,0,0,0, 
(1414W,TD1414W,0,0,1,4,20,4,4,0,0,0,0,0,0,0,0,0, 
(1409,Rammasun,0,0,1,1,16,6,6,0,0,0,0,0,0,0,0,0, 
(1407,Hagibis,2,1,1,4,14,1,2,0,0,0,1,1,3,0,2,2, 
(1329,Krosa,4,13,9,3,4,0,0,0,0,0,0,0,0,0,0,0, 
(1319,Usagi,0,0,0,0,0,0,0,0,0,1,1,6,13,4,4,0, 
(1311,Utor,0,0,1,1,12,5,7,3,3,0,0,0,0,0,0,0, 
(1309,Jebi,0,0,1,4,23,6,2,0,0,0,0,0,0,0,0,0, 
(1308,Cimaron,0,2,1,2,10,9,5,1,0,0,0,0,0,0,0,1, 
(1306,Rumbia,0,0,0,1,10,8,8,3,0,1,0,0,0,0,0,0, 
(1305,Bebinca,0,1,1,3,21,4,4,0,0,0,0,0,0,0,0,0, 
(1214,Tembin,9,6,2,0,0,0,0,0,0,0,0,0,3,4,5,5, 
(1213,Kai-tak,0,0,2,5,14,8,3,0,0,0,0,0,0,0,0,0, 
(1208,Vicente,0,0,1,1,17,8,4,0,0,0,0,0,0,0,0,0, 
(1206,Doksuri,0,2,3,5,15,5,2,0,0,0,0,0,0,0,0,0, 
(1205,Talim,0,2,1,3,21,7,1,0,0,0,0,0,0,0,0,0, 
(1119,Nalgae,7,11,8,6,1,1,0,0,0,0,0,0,0,0,0,1, 
(1117,Nesat,0,0,2,4,25,0,4,0,0,0,0,0,0,0,0,0, 
(1108,Nock-ten,0,1,1,1,26,4,1,0,0,0,0,0,0,0,0,0, 
(1104,Haima,0,0,0,0,17,5,11,0,0,0,0,0,0,0,0,0, 
(1103,Sarika,0,0,1,0,8,4,9,4,6,1,2,0,1,1,0,0, 
(1013,Megi,21,12,2,1,0,0,0,0,0,0,0,0,0,2,0,4, 
